GeneID	GOTerms_num	GO_Anno	KEGG_entry	KEGG_url	KOG_class	KOG_class_annotation	NR_ID	E_value	Identity	Score	Annotation	NT_ID	E_value	Identity	Score	Annotation	Swissprot_ID	E_value	Identity	Score	Annotation	category
HJ_1-10k_transcript/210932	2	"GO:0004553: hydrolase activity, hydrolyzing O-glycosyl compounds (molecular_function); GO:0005975: carbohydrate metabolic process (biological_process);"	"K01193|INV, sacA"	http://www.genome.jp/dbget-bin/www_bget?ko:K01193	[G]	Carbohydrate transport and metabolism 	XP_020248938.1	1.90E-248	396/488(81.15)	864	"beta-fructofuranosidase, insoluble isoenzyme 1-like [Asparagus officinalis]"	JN790057.1	0	1147/1466(78.24)	9.15E+02	"Agave tequilana cell wall invertase (Cwinv1) mRNA, complete cds"	sp|P26792|INV1_DAUCA	1.60E-179	297/488(60.86)	630	"Beta-fructofuranosidase, insoluble isoenzyme 1 OS=Daucus carota GN=INV1 PE=1 SV=1"	sacA
HJ_1-10k_transcript/120699	1	GO:0016787: hydrolase activity (molecular_function);	"K01193|INV, sacA"	http://www.genome.jp/dbget-bin/www_bget?ko:K01193	--	--	AFJ21579.1	4.30E-102	254/587(43.27)	378	fructan:fructan 6G-fructosyltransferase [Agave tequilana]	JN790056.1	0	1345/1686(79.77)	1.18E+03	"Agave tequilana fructan:fructan 6G-fructosyltransferase (FFT2) mRNA, complete cds"	sp|Q5FC15|GFT_ASPOF	1.90E-98	244/555(43.96)	361	6(G)-fructosyltransferase OS=Asparagus officinalis GN=FT1 PE=1 SV=1	sacA
HJ_1-10k_transcript/316192	6	"GO:0004575: sucrose alpha-glucosidase activity (molecular_function); GO:0005774: vacuolar membrane (cellular_component); GO:0005975: carbohydrate metabolic process (biological_process); GO:0016021: integral component of membrane (cellular_component); GO:0033841: 6G-fructosyltransferase activity (molecular_function); GO:0047207: 1,2-beta-fructan 1F-fructosyltransferase activity (molecular_function);"	"K01193|INV, sacA"	http://www.genome.jp/dbget-bin/www_bget?ko:K01193	--	--	ONK80326.1	1.70E-93	173/229(75.55)	3.48E+02	uncharacterized protein A4U43_C01F16410 [Asparagus officinalis]	JN790055.1	2.00E-121	522/659(79.21)	4.46E+02	"Agave tequilana fructan:fructan 6G-fructosyltransferase (FFT1) mRNA, complete cds"	sp|Q5FC15|GFT_ASPOF	5.90E-95	173/229(75.55)	348	6(G)-fructosyltransferase OS=Asparagus officinalis GN=FT1 PE=1 SV=1	sacA
HJ_1-10k_transcript/269343	6	"GO:0004564: beta-fructofuranosidase activity (molecular_function); GO:0005774: vacuolar membrane (cellular_component); GO:0005975: carbohydrate metabolic process (biological_process); GO:0016021: integral component of membrane (cellular_component); GO:0033841: 6G-fructosyltransferase activity (molecular_function); GO:0047207: 1,2-beta-fructan 1F-fructosyltransferase activity (molecular_function);"	"K01193|INV, sacA"	http://www.genome.jp/dbget-bin/www_bget?ko:K01193	--	--	AFJ21572.1	9.80E-143	254/338(75.15)	512	fructan:fructan 6G-fructosyltransferase [Agave tequilana]	JN790055.1	0	737/926(79.59)	6.47E+02	"Agave tequilana fructan:fructan 6G-fructosyltransferase (FFT1) mRNA, complete cds"	sp|Q5FC15|GFT_ASPOF	2.80E-141	243/335(72.54)	503	6(G)-fructosyltransferase OS=Asparagus officinalis GN=FT1 PE=1 SV=1	sacA
HJ_1-10k_transcript/52813	5	GO:0004575: sucrose alpha-glucosidase activity (molecular_function); GO:0005773: vacuole (cellular_component); GO:0005975: carbohydrate metabolic process (biological_process); GO:0016021: integral component of membrane (cellular_component); GO:0050306: sucrose 1F-fructosyltransferase activity (molecular_function);	"K01193|INV, sacA"	http://www.genome.jp/dbget-bin/www_bget?ko:K01193	[G]	Carbohydrate transport and metabolism 	BAM66575.1	8.80E-252	414/522(79.31)	876	sucrose:sucrose 1-fructosyltransferase [Asparagus officinalis]	JN790054.1	0	1206/1557(77.46)	9.00E+02	"Agave tequilana sucrose:sucrose 1-fructosyltransferase (SST2) mRNA, complete cds"	sp|Q5FC15|GFT_ASPOF	1.90E-197	322/521(61.80)	691	6(G)-fructosyltransferase OS=Asparagus officinalis GN=FT1 PE=1 SV=1	sacA
HJ_1-10k_transcript/153467	4	"GO:0004553: hydrolase activity, hydrolyzing O-glycosyl compounds (molecular_function); GO:0005975: carbohydrate metabolic process (biological_process); GO:0016021: integral component of membrane (cellular_component); GO:0050306: sucrose 1F-fructosyltransferase activity (molecular_function);"	"K01193|INV, sacA"	http://www.genome.jp/dbget-bin/www_bget?ko:K01193	[G]	Carbohydrate transport and metabolism 	XP_020240888.1	5.80E-146	256/335(76.42)	5.24E+02	6(G)-fructosyltransferase-like [Asparagus officinalis]	JN790053.1	1.00E-127	525/661(79.43)	4.68E+02	"Agave tequilana sucrose:sucrose 1-fructosyltransferase (SST1) mRNA, complete cds"	sp|Q5FC15|GFT_ASPOF	2.10E-96	168/322(52.17)	354	6(G)-fructosyltransferase OS=Asparagus officinalis GN=FT1 PE=1 SV=1	sacA
HJ_1-10k_transcript/242749	6	"GO:0004564: beta-fructofuranosidase activity (molecular_function); GO:0005774: vacuolar membrane (cellular_component); GO:0005975: carbohydrate metabolic process (biological_process); GO:0016021: integral component of membrane (cellular_component); GO:0033841: 6G-fructosyltransferase activity (molecular_function); GO:0047207: 1,2-beta-fructan 1F-fructosyltransferase activity (molecular_function);"	"K01193|INV, sacA"	http://www.genome.jp/dbget-bin/www_bget?ko:K01193	[G]	Carbohydrate transport and metabolism 	AFJ21579.1	1.70E-67	111/128(86.72)	2.63E+02	fructan:fructan 6G-fructosyltransferase [Agave tequilana]	JN790062.1	1.00E-96	327/392(83.42)	3.64E+02	"Agave tequilana fructan:fructan 6G-fructosyltransferase (FFT2) gene, complete cds"	sp|Q5FC15|GFT_ASPOF	1.30E-63	104/129(80.62)	245	6(G)-fructosyltransferase OS=Asparagus officinalis GN=FT1 PE=1 SV=1	sacA
HJ_1-10k_transcript/142854	6	"GO:0004564: beta-fructofuranosidase activity (molecular_function); GO:0005774: vacuolar membrane (cellular_component); GO:0005975: carbohydrate metabolic process (biological_process); GO:0016021: integral component of membrane (cellular_component); GO:0033841: 6G-fructosyltransferase activity (molecular_function); GO:0047207: 1,2-beta-fructan 1F-fructosyltransferase activity (molecular_function);"	"K01193|INV, sacA"	http://www.genome.jp/dbget-bin/www_bget?ko:K01193	[G]	Carbohydrate transport and metabolism 	AFJ21579.1	1.20E-287	455/559(81.40)	995	fructan:fructan 6G-fructosyltransferase [Agave tequilana]	JN790056.1	0	1342/1648(81.43)	1.34E+03	"Agave tequilana fructan:fructan 6G-fructosyltransferase (FFT2) mRNA, complete cds"	sp|Q5FC15|GFT_ASPOF	1.90E-281	458/613(74.71)	969	6(G)-fructosyltransferase OS=Asparagus officinalis GN=FT1 PE=1 SV=1	sacA
HJ_1-10k_transcript/237518	1	GO:0016787: hydrolase activity (molecular_function);	"K01193|INV, sacA"	http://www.genome.jp/dbget-bin/www_bget?ko:K01193	[G]	Carbohydrate transport and metabolism 	AFJ21572.1	1.20E-145	285/609(46.80)	5.22E+02	fructan:fructan 6G-fructosyltransferase [Agave tequilana]	AB084283.1	2.00E-68	593/810(73.21)	2.70E+02	"Asparagus officinalis AoFT1 mRNA for 6G-fructosyltransferase, complete cds"	sp|Q5FC15|GFT_ASPOF	5.00E-140	281/606(46.37)	499	6(G)-fructosyltransferase OS=Asparagus officinalis GN=FT1 PE=1 SV=1	sacA
HJ_1-10k_transcript/310603	5	GO:0004575: sucrose alpha-glucosidase activity (molecular_function); GO:0005774: vacuolar membrane (cellular_component); GO:0005975: carbohydrate metabolic process (biological_process); GO:0016021: integral component of membrane (cellular_component); GO:0033841: 6G-fructosyltransferase activity (molecular_function);	"K01193|INV, sacA"	http://www.genome.jp/dbget-bin/www_bget?ko:K01193	--	--	XP_020276841.1	9.30E-79	149/177(84.18)	2.99E+02	6(G)-fructosyltransferase-like [Asparagus officinalis] 	EU026119.2	2.00E-156	457/532(85.90)	5.62E+02	"Agave tequilana fructan:fructan 1-fructosyltransferase mRNA, complete cds"	sp|Q5FC15|GFT_ASPOF	5.80E-69	128/171(74.85)	262	6(G)-fructosyltransferase OS=Asparagus officinalis GN=FT1 PE=1 SV=1	sacA
HJ_1-10k_transcript/236495	5	GO:0004564: beta-fructofuranosidase activity (molecular_function); GO:0005774: vacuolar membrane (cellular_component); GO:0005975: carbohydrate metabolic process (biological_process); GO:0016021: integral component of membrane (cellular_component); GO:0033841: 6G-fructosyltransferase activity (molecular_function);	"K01193|INV, sacA"	http://www.genome.jp/dbget-bin/www_bget?ko:K01193	--	--	AFJ21572.1	1.30E-166	291/391(74.42)	592	fructan:fructan 6G-fructosyltransferase [Agave tequilana]	JN790055.1	0	894/1146(78.01)	6.93E+02	"Agave tequilana fructan:fructan 6G-fructosyltransferase (FFT1) mRNA, complete cds"	sp|Q5FC15|GFT_ASPOF	3.70E-167	282/388(72.68)	589	6(G)-fructosyltransferase OS=Asparagus officinalis GN=FT1 PE=1 SV=1	sacA
HJ_1-10k_transcript/177323	6	GO:0004575: sucrose alpha-glucosidase activity (molecular_function); GO:0005774: vacuolar membrane (cellular_component); GO:0005975: carbohydrate metabolic process (biological_process); GO:0016021: integral component of membrane (cellular_component); GO:0033841: 6G-fructosyltransferase activity (molecular_function); GO:0050306: sucrose 1F-fructosyltransferase activity (molecular_function);	"K01193|INV, sacA"	http://www.genome.jp/dbget-bin/www_bget?ko:K01193	[G]	Carbohydrate transport and metabolism 	BAM66575.1	2.10E-235	390/497(78.47)	821	sucrose:sucrose 1-fructosyltransferase [Asparagus officinalis]	DQ535031.1	0	1136/1472(77.17)	8.45E+02	"Agave tequilana sucrose:sucrose 1-fructosyltransferase (SST1) mRNA, complete cds"	sp|Q5FC15|GFT_ASPOF	4.30E-189	308/498(61.85)	662	6(G)-fructosyltransferase OS=Asparagus officinalis GN=FT1 PE=1 SV=1	sacA
HJ_1-10k_transcript/184316	6	"GO:0004564: beta-fructofuranosidase activity (molecular_function); GO:0005774: vacuolar membrane (cellular_component); GO:0005975: carbohydrate metabolic process (biological_process); GO:0016021: integral component of membrane (cellular_component); GO:0033841: 6G-fructosyltransferase activity (molecular_function); GO:0047207: 1,2-beta-fructan 1F-fructosyltransferase activity (molecular_function);"	"K01193|INV, sacA"	http://www.genome.jp/dbget-bin/www_bget?ko:K01193	[G]	Carbohydrate transport and metabolism 	AFJ21579.1	3.40E-275	439/536(81.90)	953	fructan:fructan 6G-fructosyltransferase [Agave tequilana]	JN790056.1	0	1297/1591(81.52)	1.30E+03	"Agave tequilana fructan:fructan 6G-fructosyltransferase (FFT2) mRNA, complete cds"	sp|Q5FC15|GFT_ASPOF	7.30E-266	421/534(78.84)	917	6(G)-fructosyltransferase OS=Asparagus officinalis GN=FT1 PE=1 SV=1	sacA
HJ_1-10k_transcript/155557	2	"GO:0004553: hydrolase activity, hydrolyzing O-glycosyl compounds (molecular_function); GO:0005975: carbohydrate metabolic process (biological_process);"	"K01193|INV, sacA"	http://www.genome.jp/dbget-bin/www_bget?ko:K01193	[G]	Carbohydrate transport and metabolism 	XP_020248938.1	1.20E-284	454/575(78.96)	984	"beta-fructofuranosidase, insoluble isoenzyme 1-like [Asparagus officinalis]"	JN790057.1	0	1270/1631(77.87)	9.81E+02	"Agave tequilana cell wall invertase (Cwinv1) mRNA, complete cds"	sp|Q01IS8|INV3_ORYSI	1.50E-206	340/564(60.28)	720	"Beta-fructofuranosidase, insoluble isoenzyme 3 OS=Oryza sativa subsp. indica GN=CIN3 PE=2 SV=2"	sacA
HJ_1-10k_transcript/327415	4	GO:0004575: sucrose alpha-glucosidase activity (molecular_function); GO:0005975: carbohydrate metabolic process (biological_process); GO:0016021: integral component of membrane (cellular_component); GO:0050306: sucrose 1F-fructosyltransferase activity (molecular_function);	"K01193|INV, sacA"	http://www.genome.jp/dbget-bin/www_bget?ko:K01193	[G]	Carbohydrate transport and metabolism 	BAM66575.1	1.90E-17	47/57(82.46)	95	sucrose:sucrose 1-fructosyltransferase [Asparagus officinalis]	--	--	--	--	--	sp|Q5FC15|GFT_ASPOF	1.70E-14	39/55(70.91)	80	6(G)-fructosyltransferase OS=Asparagus officinalis GN=FT1 PE=1 SV=1	sacA
HJ_1-10k_transcript/323211	6	"GO:0004575: sucrose alpha-glucosidase activity (molecular_function); GO:0005774: vacuolar membrane (cellular_component); GO:0005975: carbohydrate metabolic process (biological_process); GO:0016021: integral component of membrane (cellular_component); GO:0033841: 6G-fructosyltransferase activity (molecular_function); GO:0047207: 1,2-beta-fructan 1F-fructosyltransferase activity (molecular_function);"	"K01193|INV, sacA"	http://www.genome.jp/dbget-bin/www_bget?ko:K01193	--	--	AFJ21579.1	8.70E-63	121/139(87.05)	2.46E+02	fructan:fructan 6G-fructosyltransferase [Agave tequilana]	JN790058.1	2.00E-54	293/379(77.31)	2.22E+02	"Agave tequilana vacuolar invertase (Vinv1) mRNA, complete cds"	sp|Q5FC15|GFT_ASPOF	4.10E-61	115/136(84.56)	235	6(G)-fructosyltransferase OS=Asparagus officinalis GN=FT1 PE=1 SV=1	sacA
HJ_1-10k_transcript/145960	2	"GO:0004553: hydrolase activity, hydrolyzing O-glycosyl compounds (molecular_function); GO:0005975: carbohydrate metabolic process (biological_process);"	"K01193|INV, sacA"	http://www.genome.jp/dbget-bin/www_bget?ko:K01193	[G]	Carbohydrate transport and metabolism 	XP_020248938.1	2.40E-282	451/575(78.43)	977	"beta-fructofuranosidase, insoluble isoenzyme 1-like [Asparagus officinalis]"	JN790057.1	0	1267/1631(77.68)	9.65E+02	"Agave tequilana cell wall invertase (Cwinv1) mRNA, complete cds"	sp|Q01IS8|INV3_ORYSI	3.00E-204	338/564(59.93)	713	"Beta-fructofuranosidase, insoluble isoenzyme 3 OS=Oryza sativa subsp. indica GN=CIN3 PE=2 SV=2"	sacA
HJ_1-10k_transcript/116660	4	"GO:0004553: hydrolase activity, hydrolyzing O-glycosyl compounds (molecular_function); GO:0005975: carbohydrate metabolic process (biological_process); GO:0016021: integral component of membrane (cellular_component); GO:0050306: sucrose 1F-fructosyltransferase activity (molecular_function);"	"K01193|INV, sacA"	http://www.genome.jp/dbget-bin/www_bget?ko:K01193	[G]	Carbohydrate transport and metabolism 	XP_020240888.1	5.20E-183	310/400(77.50)	6.47E+02	6(G)-fructosyltransferase-like [Asparagus officinalis]	JN790054.1	7.00E-150	753/977(77.07)	5.42E+02	"Agave tequilana sucrose:sucrose 1-fructosyltransferase (SST2) mRNA, complete cds"	sp|Q5FC15|GFT_ASPOF	5.60E-125	207/387(53.49)	449	6(G)-fructosyltransferase OS=Asparagus officinalis GN=FT1 PE=1 SV=1	sacA
HJ_1-10k_transcript/322495	6	"GO:0004575: sucrose alpha-glucosidase activity (molecular_function); GO:0005774: vacuolar membrane (cellular_component); GO:0005975: carbohydrate metabolic process (biological_process); GO:0016021: integral component of membrane (cellular_component); GO:0033841: 6G-fructosyltransferase activity (molecular_function); GO:0047207: 1,2-beta-fructan 1F-fructosyltransferase activity (molecular_function);"	"K01193|INV, sacA"	http://www.genome.jp/dbget-bin/www_bget?ko:K01193	--	--	AFJ21579.1	4.10E-66	130/164(79.27)	2.57E+02	fructan:fructan 6G-fructosyltransferase [Agave tequilana]	JN790055.1	4.00E-72	359/459(78.21)	2.81E+02	"Agave tequilana fructan:fructan 6G-fructosyltransferase (FFT1) mRNA, complete cds"	sp|Q5FC15|GFT_ASPOF	3.30E-64	122/161(75.78)	246	6(G)-fructosyltransferase OS=Asparagus officinalis GN=FT1 PE=1 SV=1	sacA
HJ_1-10k_transcript/175133	6	"GO:0004575: sucrose alpha-glucosidase activity (molecular_function); GO:0005774: vacuolar membrane (cellular_component); GO:0005975: carbohydrate metabolic process (biological_process); GO:0016021: integral component of membrane (cellular_component); GO:0033841: 6G-fructosyltransferase activity (molecular_function); GO:0047207: 1,2-beta-fructan 1F-fructosyltransferase activity (molecular_function);"	"K01193|INV, sacA"	http://www.genome.jp/dbget-bin/www_bget?ko:K01193	--	--	ABS72186.1	4.70E-264	432/526(82.13)	916	fructan:fructan 1-fructosyltransferase [Agave tequilana]	EU026119.2	0	1285/1558(82.48)	1.35E+03	"Agave tequilana fructan:fructan 1-fructosyltransferase mRNA, complete cds"	sp|Q5FC15|GFT_ASPOF	1.30E-230	368/522(70.50)	800	6(G)-fructosyltransferase OS=Asparagus officinalis GN=FT1 PE=1 SV=1	sacA
HJ_1-10k_transcript/109604	4	GO:0004564: beta-fructofuranosidase activity (molecular_function); GO:0005975: carbohydrate metabolic process (biological_process); GO:0016021: integral component of membrane (cellular_component); GO:0016740: transferase activity (molecular_function);	"K01193|INV, sacA"	http://www.genome.jp/dbget-bin/www_bget?ko:K01193	[G]	Carbohydrate transport and metabolism 	XP_020240888.1	3.30E-169	300/446(67.26)	601	6(G)-fructosyltransferase-like [Asparagus officinalis]	DQ535031.1	0	1203/1557(77.26)	9.02E+02	"Agave tequilana sucrose:sucrose 1-fructosyltransferase (SST1) mRNA, complete cds"	sp|Q5FC15|GFT_ASPOF	5.90E-114	181/316(57.28)	413	6(G)-fructosyltransferase OS=Asparagus officinalis GN=FT1 PE=1 SV=1	sacA
HJ_1-10k_transcript/299602	6	"GO:0004575: sucrose alpha-glucosidase activity (molecular_function); GO:0005774: vacuolar membrane (cellular_component); GO:0005975: carbohydrate metabolic process (biological_process); GO:0016021: integral component of membrane (cellular_component); GO:0033841: 6G-fructosyltransferase activity (molecular_function); GO:0047207: 1,2-beta-fructan 1F-fructosyltransferase activity (molecular_function);"	"K01193|INV, sacA"	http://www.genome.jp/dbget-bin/www_bget?ko:K01193	--	--	AFJ21579.1	7.00E-115	208/273(76.19)	4.19E+02	fructan:fructan 6G-fructosyltransferase [Agave tequilana]	JN790055.1	9.00E-155	630/790(79.75)	5.56E+02	"Agave tequilana fructan:fructan 6G-fructosyltransferase (FFT1) mRNA, complete cds"	sp|Q5FC15|GFT_ASPOF	2.70E-115	204/270(75.56)	416	6(G)-fructosyltransferase OS=Asparagus officinalis GN=FT1 PE=1 SV=1	sacA
HJ_1-10k_transcript/164527	2	"GO:0004553: hydrolase activity, hydrolyzing O-glycosyl compounds (molecular_function); GO:0005975: carbohydrate metabolic process (biological_process);"	"K01193|INV, sacA"	http://www.genome.jp/dbget-bin/www_bget?ko:K01193	[G]	Carbohydrate transport and metabolism 	AFJ21580.1	3.20E-303	479/566(84.63)	1046	cell wall invertase [Agave tequilana]	JN790057.1	0	1401/1666(84.09)	1.60E+03	"Agave tequilana cell wall invertase (Cwinv1) mRNA, complete cds"	sp|P26792|INV1_DAUCA	1.40E-222	358/554(64.62)	773	"Beta-fructofuranosidase, insoluble isoenzyme 1 OS=Daucus carota GN=INV1 PE=1 SV=1"	sacA
HJ_1-10k_transcript/298950	2	GO:0004575: sucrose alpha-glucosidase activity (molecular_function); GO:0005975: carbohydrate metabolic process (biological_process);	"K01193|INV, sacA"	http://www.genome.jp/dbget-bin/www_bget?ko:K01193	[G]	Carbohydrate transport and metabolism 	XP_020248938.1	3.80E-113	196/249(78.71)	4.14E+02	"beta-fructofuranosidase, insoluble isoenzyme 1-like [Asparagus officinalis]"	JN790057.1	3.00E-140	596/754(79.05)	5.08E+02	"Agave tequilana cell wall invertase (Cwinv1) mRNA, complete cds"	sp|Q01IS8|INV3_ORYSI	4.60E-83	143/250(57.20)	309	"Beta-fructofuranosidase, insoluble isoenzyme 3 OS=Oryza sativa subsp. indica GN=CIN3 PE=2 SV=2"	sacA
HJ_1-10k_transcript/110714	1	GO:0003824: catalytic activity (molecular_function);	"K01193|INV, sacA"	http://www.genome.jp/dbget-bin/www_bget?ko:K01193	--	--	AFJ21572.1	2.20E-55	188/508(37.01)	2.23E+02	fructan:fructan 6G-fructosyltransferase [Agave tequilana]	LC121825.1	2.00E-21	583/830(70.24)	1.15E+02	"Allium cepa 1-SST mRNA for sucrose:sucrose 1-fructosyltransferase, complete cds, cultivar: Polestar"	sp|Q5FC15|GFT_ASPOF	1.30E-54	230/652(35.28)	216	6(G)-fructosyltransferase OS=Asparagus officinalis GN=FT1 PE=1 SV=1	sacA
HJ_1-10k_transcript/131868	2	"GO:0004553: hydrolase activity, hydrolyzing O-glycosyl compounds (molecular_function); GO:0005975: carbohydrate metabolic process (biological_process);"	"K01193|INV, sacA"	http://www.genome.jp/dbget-bin/www_bget?ko:K01193	[G]	Carbohydrate transport and metabolism 	XP_020248938.1	5.50E-285	454/575(78.96)	986	"beta-fructofuranosidase, insoluble isoenzyme 1-like [Asparagus officinalis]"	JN790057.1	0	1269/1632(77.76)	9.70E+02	"Agave tequilana cell wall invertase (Cwinv1) mRNA, complete cds"	sp|Q01IS8|INV3_ORYSI	3.10E-207	340/564(60.28)	723	"Beta-fructofuranosidase, insoluble isoenzyme 3 OS=Oryza sativa subsp. indica GN=CIN3 PE=2 SV=2"	sacA
HJ_1-10k_transcript/253922	6	"GO:0004575: sucrose alpha-glucosidase activity (molecular_function); GO:0005774: vacuolar membrane (cellular_component); GO:0005975: carbohydrate metabolic process (biological_process); GO:0016021: integral component of membrane (cellular_component); GO:0033841: 6G-fructosyltransferase activity (molecular_function); GO:0047207: 1,2-beta-fructan 1F-fructosyltransferase activity (molecular_function);"	"K01193|INV, sacA"	http://www.genome.jp/dbget-bin/www_bget?ko:K01193	--	--	AFJ21579.1	4.00E-127	225/299(75.25)	4.61E+02	fructan:fructan 6G-fructosyltransferase [Agave tequilana]	JN790055.1	2.00E-163	670/843(79.48)	5.86E+02	"Agave tequilana fructan:fructan 6G-fructosyltransferase (FFT1) mRNA, complete cds"	sp|Q5FC15|GFT_ASPOF	7.00E-128	221/296(74.66)	458	6(G)-fructosyltransferase OS=Asparagus officinalis GN=FT1 PE=1 SV=1	sacA
HJ_1-10k_transcript/282538	6	GO:0004575: sucrose alpha-glucosidase activity (molecular_function); GO:0005774: vacuolar membrane (cellular_component); GO:0005975: carbohydrate metabolic process (biological_process); GO:0016021: integral component of membrane (cellular_component); GO:0033841: 6G-fructosyltransferase activity (molecular_function); GO:0050306: sucrose 1F-fructosyltransferase activity (molecular_function);	"K01193|INV, sacA"	http://www.genome.jp/dbget-bin/www_bget?ko:K01193	--	--	ABG00265.1	1.40E-108	195/241(80.91)	3.99E+02	sucrose:sucrose 1-fructosyltransferase [Agave tequilana]	JN790054.1	2.00E-157	591/730(80.96)	5.66E+02	"Agave tequilana sucrose:sucrose 1-fructosyltransferase (SST2) mRNA, complete cds"	sp|Q5FC15|GFT_ASPOF	4.60E-92	165/235(70.21)	339	6(G)-fructosyltransferase OS=Asparagus officinalis GN=FT1 PE=1 SV=1	sacA
HJ_1-10k_transcript/288363	5	GO:0004575: sucrose alpha-glucosidase activity (molecular_function); GO:0005774: vacuolar membrane (cellular_component); GO:0005975: carbohydrate metabolic process (biological_process); GO:0016021: integral component of membrane (cellular_component); GO:0033841: 6G-fructosyltransferase activity (molecular_function);	"K01193|INV, sacA"	http://www.genome.jp/dbget-bin/www_bget?ko:K01193	--	--	XP_020276841.1	1.60E-109	200/248(80.65)	402	6(G)-fructosyltransferase-like [Asparagus officinalis] 	EU026119.2	0	606/725(83.59)	6.75E+02	"Agave tequilana fructan:fructan 1-fructosyltransferase mRNA, complete cds"	sp|Q5FC15|GFT_ASPOF	5.50E-98	175/242(72.31)	359	6(G)-fructosyltransferase OS=Asparagus officinalis GN=FT1 PE=1 SV=1	sacA
HJ_1-10k_transcript/118711	6	"GO:0004564: beta-fructofuranosidase activity (molecular_function); GO:0005774: vacuolar membrane (cellular_component); GO:0005975: carbohydrate metabolic process (biological_process); GO:0016021: integral component of membrane (cellular_component); GO:0033841: 6G-fructosyltransferase activity (molecular_function); GO:0047207: 1,2-beta-fructan 1F-fructosyltransferase activity (molecular_function);"	"K01193|INV, sacA"	http://www.genome.jp/dbget-bin/www_bget?ko:K01193	[G]	Carbohydrate transport and metabolism 	AFJ21579.1	2.30E-289	474/629(75.36)	1000	fructan:fructan 6G-fructosyltransferase [Agave tequilana]	JN790056.1	0	1344/1652(81.36)	1.34E+03	"Agave tequilana fructan:fructan 6G-fructosyltransferase (FFT2) mRNA, complete cds"	sp|Q5FC15|GFT_ASPOF	9.30E-287	463/610(75.90)	987	6(G)-fructosyltransferase OS=Asparagus officinalis GN=FT1 PE=1 SV=1	sacA
HJ_1-10k_transcript/217650	5	GO:0004564: beta-fructofuranosidase activity (molecular_function); GO:0005773: vacuole (cellular_component); GO:0005975: carbohydrate metabolic process (biological_process); GO:0016021: integral component of membrane (cellular_component); GO:0050306: sucrose 1F-fructosyltransferase activity (molecular_function);	"K01193|INV, sacA"	http://www.genome.jp/dbget-bin/www_bget?ko:K01193	[G]	Carbohydrate transport and metabolism 	BAM66575.1	2.60E-207	351/451(77.83)	727	sucrose:sucrose 1-fructosyltransferase [Asparagus officinalis]	DQ535031.1	0	1028/1334(77.06)	7.56E+02	"Agave tequilana sucrose:sucrose 1-fructosyltransferase (SST1) mRNA, complete cds"	sp|Q5FC15|GFT_ASPOF	3.90E-167	279/451(61.86)	589	6(G)-fructosyltransferase OS=Asparagus officinalis GN=FT1 PE=1 SV=1	sacA
HJ_1-10k_transcript/237160	1	GO:0016787: hydrolase activity (molecular_function);	"K01193|INV, sacA"	http://www.genome.jp/dbget-bin/www_bget?ko:K01193	--	--	AFJ21572.1	1.40E-26	106/271(39.11)	1.27E+02	fructan:fructan 6G-fructosyltransferase [Agave tequilana]	JN790055.1	5.00E-134	901/1199(75.15)	4.88E+02	"Agave tequilana fructan:fructan 6G-fructosyltransferase (FFT1) mRNA, complete cds"	sp|Q5FC15|GFT_ASPOF	2.10E-26	102/267(38.20)	121	6(G)-fructosyltransferase OS=Asparagus officinalis GN=FT1 PE=1 SV=1	sacA
HJ_1-10k_transcript/277033	4	GO:0004564: beta-fructofuranosidase activity (molecular_function); GO:0005975: carbohydrate metabolic process (biological_process); GO:0016021: integral component of membrane (cellular_component); GO:0016740: transferase activity (molecular_function);	"K01193|INV, sacA"	http://www.genome.jp/dbget-bin/www_bget?ko:K01193	--	--	ONK80326.1	3.70E-89	222/572(38.81)	3.34E+02	uncharacterized protein A4U43_C01F16410 [Asparagus officinalis]	JN790055.1	2.00E-103	462/585(78.97)	3.87E+02	"Agave tequilana fructan:fructan 6G-fructosyltransferase (FFT1) mRNA, complete cds"	sp|Q5FC15|GFT_ASPOF	3.90E-87	222/602(36.88)	323	6(G)-fructosyltransferase OS=Asparagus officinalis GN=FT1 PE=1 SV=1	sacA
HJ_1-10k_transcript/105197	4	"GO:0004553: hydrolase activity, hydrolyzing O-glycosyl compounds (molecular_function); GO:0005975: carbohydrate metabolic process (biological_process); GO:0016021: integral component of membrane (cellular_component); GO:0016740: transferase activity (molecular_function);"	"K01193|INV, sacA"	http://www.genome.jp/dbget-bin/www_bget?ko:K01193	[G]	Carbohydrate transport and metabolism 	AFJ21576.1	5.70E-76	226/604(37.42)	2.92E+02	sucrose:sucrose 1-fructosyltransferase [Agave tequilana]	JN790060.1	1.00E-108	760/1019(74.58)	4.05E+02	"Agave tequilana sucrose:sucrose 1-fructosyltransferase (SST2) gene, complete cds"	sp|Q5FC15|GFT_ASPOF	2.70E-53	93/168(55.36)	211	6(G)-fructosyltransferase OS=Asparagus officinalis GN=FT1 PE=1 SV=1	sacA
